Budget,Company,Country,Director,Genre,Gross,name (Copy of output 2016 1.csv),Name,Negative Percentage,Negative Retweets,Neutral Tweets,Positive Percentage,Positive Retweets,Rating,Released,Runtime,Score,Star,Total Retweets,Tweets Analyzed,Votes,Writer,Year
150000000,DreamWorks Animation,USA,Jennifer Yuh Nelson,Animation,165249063,Kung Fu Panda 2,Kung Fu Panda 2,6.756756757,0,67.56756757,25.67567568,1359,PG,5/26/2011,90,7.3,Jack Black,15218,74,203107,Jonathan Aibel,2011
135000000,Columbia Pictures,USA,Steven Spielberg,Animation,77591831,The Adventures of Tintin,The Adventures of Tintin,12.5,0,52.08333333,35.41666667,14,PG,12/21/2011,107,7.4,Jamie Bell,428,48,188070,Hergé,2011
55000000,Columbia Pictures,UK,Peter Lord,Animation,31051126,The Pirates! Band of Misfits,The Pirates! Band of Misfits,0,0,44.44444444,55.55555556,223,PG,4/27/2012,88,6.7,Hugh Grant,229,9,38842,Gideon Defoe,2012
70000000,Universal Pictures,USA,Chris Renaud,Animation,214030500,The Lorax,The Lorax,25.26315789,2587,53.68421053,21.05263158,26957,PG,3/2/2012,86,6.4,Zac Efron,50440,95,83314,Dr. Seuss,2012
95000000,Blue Sky Studios,USA,Steve Martino,Animation,161321843,Ice Age: Continental Drift,Ice Age: Continental Drift,15.38461538,10,69.23076923,15.38461538,43,PG,7/13/2012,88,6.6,Ray Romano,57,26,158545,Michael Berg,2012
145000000,DreamWorks Animation,USA,Eric Darnell,Animation,216391482,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,4,0,0,96,59,PG,6/8/2012,100,6.9,Ben Stiller,59,25,130435,Eric Darnell,2012
39000000,Walt Disney Pictures,USA,Tim Burton,Animation,35291068,Frankenweenie,Frankenweenie,9.89010989,0,60.43956044,29.67032967,2,PG,10/5/2012,87,7,Winona Ryder,650,91,81006,Leonard Ripps,2012
60000000,Focus Features,USA,Chris Butler,Animation,56003051,ParaNorman,ParaNorman,13.18681319,1,58.24175824,28.57142857,2663,PG,8/17/2012,92,7,Kodi Smit-McPhee,2675,91,79594,Chris Butler,2012
85000000,Columbia Pictures,USA,Genndy Tartakovsky,Animation,148313048,Hotel Transylvania,Hotel Transylvania,8.602150538,16,63.44086022,27.95698925,517,PG,9/28/2012,91,7.1,Adam Sandler,9233,93,180944,Peter Baynham,2012
185000000,Walt Disney Pictures,USA,Mark Andrews,Animation,237283207,Brave,Brave,2.53164557,0,15.18987342,82.27848101,15040,PG,6/22/2012,93,7.2,Kelly Macdonald,21752,79,302017,Brenda Chapman,2012
145000000,DreamWorks Animation,USA,Peter Ramsey,Animation,103412758,Rise of the Guardians,Rise of the Guardians,4.166666667,162,66.66666667,29.16666667,1389,PG,11/21/2012,97,7.3,Hugh Jackman,1665,48,133291,David Lindsay-Abaire,2012
165000000,Walt Disney Animation Studios,USA,Rich Moore,Animation,189422889,Wreck-It Ralph,Wreck-It Ralph,29.72972973,28,48.64864865,21.62162162,543,PG,11/2/2012,101,7.7,John C. Reilly,571,37,298207,Rich Moore,2012
0,Studio Ghibli,Japan,Isao Takahata,Animation,1506975,The Tale of the Princess Kaguya,The Tale of the Princess Kaguya,1.960784314,0,70.58823529,27.45098039,81,PG,11/23/2013,137,8.1,Chloë Grace Moretz,4328,51,23571,Isao Takahata,2013
105000000,Columbia Pictures,USA,Raja Gosnell,Animation,71017784,The Smurfs 2,The Smurfs 2,14,0,44,42,11,PG,7/31/2013,105,5.4,Neil Patrick Harris,4876,50,30631,J. David Stem,2013
50000000,Prana Studios,USA,Klay Hall,Animation,90288712,Planes,Planes,10.95890411,11698,67.12328767,21.91780822,23950,PG,8/9/2013,91,5.8,Carlos Alazraqui,43111,73,37338,John Lasseter,2013
78000000,Columbia Pictures,USA,Cody Cameron,Animation,119793567,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,13.84615385,0,56.92307692,29.23076923,2480,PG,9/27/2013,95,6.4,Bill Hader,2480,65,71615,Erica Rivinoja,2013
135000000,DreamWorks Animation,USA,David Soren,Animation,83028128,Turbo,Turbo,5.154639175,68,72.16494845,22.68041237,224,PG,7/17/2013,96,6.5,Ryan Reynolds,806,97,67648,Darren Lemke,2013
100000000,Twentieth Century Fox Animation,USA,Chris Wedge,Animation,107518682,Epic,Epic,8.974358974,818,12.82051282,78.20512821,7817,PG,5/24/2013,102,6.7,Amanda Seyfried,8638,78,90501,James V. Hart,2013
135000000,DreamWorks Animation,USA,Kirk De Micco,Animation,187168425,The Croods,The Croods,14.14141414,3,52.52525253,33.33333333,115,PG,3/22/2013,98,7.2,Nicolas Cage,119,99,163313,Chris Sanders,2013
76000000,Universal Pictures,USA,Pierre Coffin,Animation,368061265,Despicable Me 2,Despicable Me 2,10.22727273,2,48.86363636,40.90909091,494,PG,7/3/2013,98,7.4,Steve Carell,524,88,314045,Cinco Paul,2013
150000000,Walt Disney Animation Studios,USA,Chris Buck,Animation,400738009,Frozen,Frozen,13.40206186,1,48.45360825,38.1443299,46707,PG,11/27/2013,102,7.5,Kristen Bell,61889,97,464149,Jennifer Lee,2013
150000000,Walt Disney Animation Studios,USA,Chris Buck,Animation,400738009,Frozen,Frozen,14.77272727,47,51.13636364,34.09090909,1048,PG,11/27/2013,102,7.5,Kristen Bell,16930,88,464149,Jennifer Lee,2013
60000000,Warner Bros.,Australia,Phil Lord,Animation,257760692,The Lego Movie,The Lego Movie,25.45454545,16,47.27272727,27.27272727,984,PG,2/7/2014,100,7.8,Chris Pratt,1220,55,274608,Phil Lord,2014
42000000,Gulfstream Pictures,Canada,Peter Lepeniotis,Animation,64251541,Locos por las nueces,Locos por las nueces,0,0,100,0,0,PG,1/17/2014,85,5.8,Will Arnett,0,2,21922,Lorne Cameron,2014
0,Big Farm,Ireland,Tomm Moore,Animation,857522,Song of the Sea,Song of the Sea,14.28571429,97,54.28571429,31.42857143,170,PG,12/10/2014,93,8.1,David Rawle,2927,35,35135,Will Collins,2014
0,Dentsu,Japan,Hiromasa Yonebayashi,Animation,765127,El recuerdo de Marnie,El recuerdo de Marnie,1.315789474,0,88.15789474,10.52631579,65,PG,12/18/2015,103,7.8,Sara Takatsuki,1892,76,18970,Joan G. Robinson,2014
55000000,StudioCanal,UK,Paul King,Animation,76223578,Paddington,Paddington,13.75,3,58.75,27.5,261,PG,1/16/2015,95,7.2,Hugh Bonneville,379,80,56480,Paul King,2014
132000000,DreamWorks Animation,USA,Eric Darnell,Animation,83348920,Penguins of Madagascar,Penguins of Madagascar,7.8125,0,53.125,39.0625,35223,PG,11/26/2014,92,6.7,Tom McGrath,56304,64,66287,Michael Colton,2014
145000000,Bullwinkle Studios,USA,Rob Minkoff,Animation,111506430,Mr. Peabody & Sherman,Mr. Peabody & Sherman,7.407407407,0,66.66666667,25.92592593,15,PG,3/7/2014,92,6.8,Ty Burrell,28,81,52421,Jay Ward,2014
60000000,Laika Entertainment,USA,Graham Annable,Animation,50837305,The Boxtrolls,The Boxtrolls,25,36,35.41666667,39.58333333,6,PG,9/26/2014,96,6.8,Ben Kingsley,47,48,46486,Irena Brignull,2014
50000000,Reel FX Creative Studios,USA,Jorge R. Gutiérrez,Animation,50151543,The Book of Life,The Book of Life,12.98701299,4,36.36363636,50.64935065,7059,PG,10/17/2014,95,7.3,Diego Luna,7304,77,51976,Jorge R. Gutiérrez,2014
145000000,DreamWorks Animation,USA,Dean DeBlois,Animation,177002924,How to Train Your Dragon 2,How to Train Your Dragon 2,8.620689655,49,65.51724138,25.86206897,1407,PG,6/13/2014,102,7.8,Jay Baruchel,1625,58,243596,Dean DeBlois,2014
165000000,FortyFour Studios,USA,Don Hall,Animation,222527828,Big Hero 6,Big Hero 6,8.235294118,3,67.05882353,24.70588235,56,PG,11/7/2014,102,7.8,Ryan Potter,79,85,320396,Jordan Roberts,2014
81200000,Onyx Films,France,Mark Osborne,Animation,1339152,El principito,El principito,0,0,89.58333333,10.41666667,0,PG,8/5/2016,108,7.8,Jeff Bridges,665,48,41751,Irena Brignull,2015
25000000,StudioCanal,UK,Mark Burton,Animation,19375982,Shaun the Sheep Movie,Shaun the Sheep Movie,15.25423729,55,45.76271186,38.98305085,31,PG,8/5/2015,85,7.4,Justin Fletcher,1235,59,28138,Mark Burton,2015
90000000,Fox 2000 Pictures,USA,Walt Becker,Animation,85886987,Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,0,0,51.72413793,48.27586207,3,PG,12/18/2015,100,5.1,Jason Lee,5,29,12069,Ross Bagdasarian,2015
0,Filmbox,USA,Gary Rydstrom,Animation,12427046,Strange Magic,Strange Magic,13.15789474,6,3.947368421,82.89473684,678,PG,1/23/2015,99,5.8,Evan Rachel Wood,702,76,8009,David Berenbaum,2015
74000000,Paramount Animation,USA,Paul Tibbitt,Animation,162994032,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,10.52631579,268,52.63157895,36.84210526,2,PG,2/6/2015,92,6,Tom Kenny,751,19,38659,Glenn Berger,2015
74000000,Illumination Entertainment,USA,Kyle Balda,Animation,336045770,Minions,Minions,17.44186047,2275,66.27906977,16.27906977,90,PG,7/10/2015,91,6.4,Sandra Bullock,9222,86,169228,Brian Lynch,2015
80000000,Columbia Pictures,USA,Genndy Tartakovsky,Animation,169700110,Hotel Transylvania 2,Hotel Transylvania 2,15.85365854,0,63.41463415,20.73170732,20,PG,9/25/2015,89,6.7,Adam Sandler,28102,82,73328,Robert Smigel,2015
200000000,Pixar Animation Studios,USA,Peter Sohn,Animation,123087120,The Good Dinosaur,The Good Dinosaur,9.183673469,2,8.163265306,82.65306122,26,PG,11/25/2015,93,6.7,Jeffrey Wright,30,98,80711,Bob Peterson,2015
135000000,DreamWorks Animation,USA,Tim Johnson,Animation,177397510,Home,Home,16.48351648,20678,47.25274725,36.26373626,54808,PG,3/27/2015,94,6.7,Jim Parsons,243302,91,79374,Tom J. Astle,2015
175000000,Pixar Animation Studios,USA,Pete Docter,Animation,356461711,Inside Out,Inside Out,24.32432432,2901,33.78378378,41.89189189,1096,PG,6/19/2015,95,8.2,Amy Poehler,6197,74,439792,Pete Docter,2015
145000000,China Film Co.,China,Alessandro Carloni,Animation,143528619,Kung Fu Panda 3,Kung Fu Panda 3,6.382978723,0,73.40425532,20.21276596,2,PG,1/29/2016,95,7.1,Jack Black,26850,94,95310,Jonathan Aibel,2016
73000000,Columbia Pictures,Finland,Clay Kaytis,Animation,107509366,The Angry Birds Movie,The Angry Birds Movie,74.73684211,20,12.63157895,12.63157895,4,PG,5/20/2016,97,6.3,Jason Sudeikis,621,95,59472,Jon Vitti,2016
30000000,Quad Productions,France,Eric Summer,Animation,12760985,Leap!,Leap!,8.450704225,22,43.66197183,47.88732394,2539,PG,8/25/2017,89,6.8,Elle Fanning,2959,71,9517,Eric Summer,2016
0,Prima Linea Productions,France,Michael Dudok de Wit,Animation,920057,La tortuga roja,La tortuga roja,6.060606061,8,90.90909091,3.03030303,0,PG,1/20/2017,80,7.6,Emmanuel Garijo,91,33,15705,Michael Dudok de Wit,2016
75000000,Universal Pictures,Japan,Chris Renaud,Animation,368384330,La vida secreta de tus mascotas,La vida secreta de tus mascotas,2,0,92,6,0,PG,7/8/2016,87,6.6,Louis C.K.,12,50,133755,Cinco Paul,2016
0,Amuse,Japan,Makoto Shinkai,Animation,5017246,Your name,Your name,11.68831169,2690,35.06493506,53.24675325,14862,PG,4/7/2017,106,8.5,Ryûnosuke Kamiki,21989,77,54503,Makoto Shinkai,2016
105000000,Blue Sky Studios,USA,Mike Thurmeier,Animation,64063008,Ice Age: Collision Course,Ice Age: Collision Course,5,0,70,25,4,PG,7/22/2016,94,5.7,Ray Romano,6,20,38556,Michael J. Wilson,2016
8500000,CBS Films,USA,Steve Carr,Animation,19985196,Middle School: The Worst Years of My Life,Middle School: The Worst Years of My Life,91.42857143,6,5.714285714,2.857142857,0,PG,10/7/2016,92,6.1,Griffin Gluck,7,35,4556,Chris Bowman,2016
125000000,DreamWorks Animation,USA,Mike Mitchell,Animation,153707064,Trolls,Trolls,13.88888889,1160,59.72222222,26.38888889,2900,PG,11/4/2016,92,6.5,Anna Kendrick,36122,72,49423,Jonathan Aibel,2016
70000000,RatPac-Dune Entertainment,USA,Nicholas Stoller,Animation,72655779,Storks,Storks,12.06896552,109,58.62068966,29.31034483,89,PG,9/23/2016,87,6.8,Andy Samberg,632,58,40740,Nicholas Stoller,2016
75000000,Dentsu,USA,Garth Jennings,Animation,270329045,Sing,Sing,13.46153846,13718,46.15384615,40.38461538,10618,PG,12/21/2016,108,7.1,Matthew McConaughey,79551,52,81466,Garth Jennings,2016
200000000,Pixar Animation Studios,USA,Andrew Stanton,Animation,486295561,Finding Dory,Finding Dory,11.95652174,3,57.60869565,30.43478261,164530,PG,6/17/2016,97,7.4,Ellen DeGeneres,164594,92,173005,Andrew Stanton,2016
150000000,Walt Disney Animation Studios,USA,Ron Clements,Animation,248757044,Moana,Moana,4.166666667,0,77.08333333,18.75,677,PG,11/23/2016,107,7.6,Auli'i Cravalho,5396,48,157290,Jared Bush,2016
60000000,Laika Entertainment,USA,Travis Knight,Animation,48023088,Kubo and the Two Strings,Kubo and the Two Strings,7.575757576,10,59.09090909,33.33333333,151,PG,8/19/2016,101,7.8,Charlize Theron,947,66,82575,Marc Haimes,2016
150000000,Walt Disney Pictures,USA,Byron Howard,Animation,341268248,Zootopia,Zootopia,8.333333333,688,59.72222222,31.94444444,54,PG,3/4/2016,108,8,Ginnifer Goodwin,1156,72,317549,Byron Howard,2016
30000000,Phoenix Pictures,UK,Chris Noonan,Biography,2975649,Miss Potter,Miss Potter,21.875,87989,45.3125,32.8125,15009,PG,3/9/2007,88,7,Renée Zellweger,111295,64,25132,Richard Maltby Jr.,2006
20000000,Gener8Xion Entertainment,USA,Michael O. Sajbel,Biography,13395961,One Night with the King,One Night with the King,22.22222222,243,22.22222222,55.55555556,2,PG,10/13/2006,123,6.3,Tiffany Dupont,245,9,6072,Stephan Blinn,2006
40000000,Walt Disney Pictures,USA,Ericson Core,Biography,57789574,Invincible,Invincible,22.22222222,537,45.83333333,31.94444444,428,PG,8/25/2006,105,7.1,Mark Wahlberg,13197,72,55713,Brad Gann,2006
0,Walt Disney Pictures,USA,James Gartner,Biography,42643187,Glory Road,Glory Road,12.79069767,4,54.65116279,32.55813953,12270,PG,1/13/2006,118,7.2,Josh Lucas,12376,86,37118,Christopher Cleveland,2006
0,Bristol Bay Productions,USA,Michael Apted,Biography,21208358,Amazing Grace,Amazing Grace,5.769230769,227,9.615384615,84.61538462,2044,PG,2/23/2007,118,7.5,Ioan Gruffudd,2402,52,21869,Steven Knight,2006
16500000,HanWay Films,UK,Julian Jarrold,Biography,18670946,Becoming Jane,Becoming Jane,9.638554217,1184,7.228915663,83.13253012,6318,PG,8/10/2007,120,7.1,Anne Hathaway,7943,83,50326,Jane Austen,2007
40000000,Davis Entertainment,USA,Gary Fleder,Biography,9589875,The Express,The Express,20,1231,32,48,31877,PG,10/10/2008,130,7.3,Rob Brown,108881,75,17510,Charles Leavitt,2008
8500000,Pathé Renn Productions,UK,Jane Campion,Biography,4444637,Bright Star,Bright Star,1.785714286,317,8.928571429,89.28571429,23660,PG,10/9/2009,119,7,Abbie Cornish,24673,56,22535,Jane Campion,2009
35000000,GK Films,UK,Jean-Marc Vallée,Biography,11001272,The Young Victoria,The Young Victoria,11.26760563,15489,18.30985915,70.42253521,5389,PG,1/8/2010,100,7.3,Emily Blunt,23989,71,49189,Julian Fellowes,2009
35000000,Walt Disney Pictures,USA,Randall Wallace,Biography,59713955,Secretariat,Secretariat,6.666666667,0,64.44444444,28.88888889,1059,PG,10/8/2010,123,7.2,Diane Lane,1431,45,22288,Mike Rich,2010
18000000,Enticing Entertainment,USA,Sean McNamara,Biography,43853424,Soul Surfer,Soul Surfer,10.41666667,0,58.33333333,31.25,1360,PG,4/8/2011,112,7.1,AnnaSophia Robb,92221,96,38348,Sean McNamara,2011
40000000,Universal Pictures,USA,Ken Kwapis,Biography,20113965,Big Miracle,Big Miracle,20.89552239,199,31.34328358,47.76119403,140474,PG,2/3/2012,107,6.5,Drew Barrymore,140695,67,16132,Jack Amiel,2012
20000000,Fox 2000 Pictures,USA,Michael Apted,Biography,6002756,Chasing Mavericks,Chasing Mavericks,6.060606061,0,72.72727273,21.21212121,0,PG,10/26/2012,100,7.2,Jonny Weston,0,33,27057,Kario Salem,2012
10900000,DJ Films,UK,Amma Asante,Biography,10726630,Belle,Belle,7.462686567,397,82.08955224,10.44776119,165,PG,6/13/2014,100,7.4,Gugu Mbatha-Raw,11441,67,23053,Misan Sagay,2013
12000000,TriStar Pictures,USA,Randall Wallace,Biography,91443253,Heaven Is for Real,Heaven Is for Real,13.48314607,20,20.2247191,66.29213483,677,PG,4/16/2014,99,5.8,Greg Kinnear,882,89,22482,Randall Wallace,2014
25000000,Walt Disney Pictures,USA,Craig Gillespie,Biography,36447959,Million Dollar Arm,Million Dollar Arm,13.63636364,3,43.93939394,42.42424242,64,PG,5/16/2014,124,7,Jon Hamm,113,66,38459,Tom McCarthy,2014
17000000,Mayhem Pictures,USA,Niki Caro,Biography,44469602,"McFarland, USA","McFarland, USA",11.11111111,49841,36.36363636,52.52525253,17,PG,2/20/2015,129,7.4,Kevin Costner,49858,99,27814,Christopher Cleveland,2015
13000000,Columbia Pictures,USA,Patricia Riggen,Biography,61693523,Miracles from Heaven,Miracles from Heaven,16.66666667,64,62.5,20.83333333,8,PG,3/16/2016,109,7,Jennifer Garner,80,72,13373,Christy Beam,2016
25000000,Levantine Films,USA,Theodore Melfi,Biography,169380936,Hidden Figures,Hidden Figures,56.52173913,5100,10.14492754,33.33333333,77,PG,1/6/2017,127,7.8,Taraji P. Henson,5242,69,121818,Allison Schroeder,2016
32000000,Paramount Pictures,Germany,Jared Hess,Comedy,80197993,Nacho Libre,Nacho Libre,4.081632653,6,83.67346939,12.24489796,1654,PG,6/16/2006,92,5.7,Jack Black,121557,98,69721,Jared Hess,2006
15000000,Summit Entertainment,UK,Mark Palansky,Comedy,10011274,Penelope,Penelope,10.1010101,236495,66.66666667,23.23232323,10342,PG,2/29/2008,104,6.8,Christina Ricci,276399,99,53683,Leslie Caveny,2006
0,Regency Enterprises,USA,John Whitesell,Comedy,35092918,Deck the Halls,Deck the Halls,4.545454545,0,70.45454545,25,164,PG,11/22/2006,93,4.9,Matthew Broderick,208,44,17377,Matt Corman,2006
12000000,Fox 2000 Pictures,USA,Elizabeth Allen Rosenbaum,Comedy,18595716,Aquamarine,Aquamarine,6.944444444,94,63.88888889,29.16666667,11104,PG,3/3/2006,100,5.3,Emma Roberts,19340,72,33023,John Quaintance,2006
28000000,Revolution Studios,Canada,Steve Carr,Comedy,49631958,Are We Done Yet?,Are We Done Yet?,39.28571429,921,25,35.71428571,259,PG,4/4/2007,92,4,Ice Cube,3725,28,16749,Hank Nelken,2007
25000000,Universal Pictures,UK,Steve Bendelack,Comedy,33302167,Mr. Bean's Holiday,Mr. Bean's Holiday,16.27906977,10,67.44186047,16.27906977,0,PG,8/24/2007,90,6.3,Rowan Atkinson,16,43,96177,Rowan Atkinson,2007
20000000,Avi Arad & Associates,USA,Sean McNamara,Comedy,10005534,Bratz,Bratz,4.761904762,0,71.42857143,23.80952381,37,PG,8/3/2007,100,2.9,Skyler Shaye,2931,42,15573,Susan Estelle Jansen,2007
175000000,Universal Pictures,USA,Tom Shadyac,Comedy,100462298,Evan Almighty,Evan Almighty,13.04347826,54953,55.43478261,31.52173913,68157,PG,6/22/2007,96,5.4,Steve Carell,296235,92,121468,Steve Oedekerk,2007
100000000,Warner Bros.,USA,David Dobkin,Comedy,72006777,Fred Claus,Fred Claus,10.71428571,2,53.57142857,35.71428571,0,PG,11/9/2007,116,5.6,Vince Vaughn,14,28,33861,Dan Fogelman,2007
20000000,Warner Bros.,USA,Andrew Fleming,Comedy,25612520,Nancy Drew,Nancy Drew,20.3125,167,48.4375,31.25,58,PG,6/15/2007,99,5.9,Emma Roberts,238,64,16948,Andrew Fleming,2007
22000000,Walt Disney Pictures,USA,Andy Fickman,Comedy,90648202,The Game Plan,The Game Plan,45.45454545,298,0,54.54545455,2420,PG,9/28/2007,110,6.2,Dwayne Johnson,2718,11,48000,Nichole Millard,2007
28000000,Castle Rock Entertainment,USA,Scott Hicks,Comedy,43107979,No Reservations,No Reservations,18.29268293,57,39.02439024,42.68292683,80,PG,7/27/2007,104,6.3,Catherine Zeta-Jones,160,82,62276,Carol Fuchs,2007
75000000,New Line Cinema,USA,Adam Shankman,Comedy,118871849,Hairspray,Hairspray,19.76744186,2,37.20930233,43.02325581,73,PG,7/20/2007,117,6.7,John Travolta,284,86,104717,Leslie Dixon,2007
27000000,New Line Cinema,USA,Menno Meyjes,Comedy,7486906,Martian Child,Martian Child,15.90909091,2733,45.45454545,38.63636364,141185,PG,11/2/2007,106,6.8,John Cusack,143924,44,18187,Seth Bass,2007
80000000,Walt Disney Pictures,USA,Adam Shankman,Comedy,110101975,Bedtime Stories,Bedtime Stories,12.85714286,3,50,37.14285714,227,PG,12/25/2008,99,6.1,Adam Sandler,298,70,76733,Matt Lopez,2008
60000000,Fox 2000 Pictures,USA,David Frankel,Comedy,143153751,Marley & Me,Marley & Me,11.76470588,7196,43.1372549,45.09803922,510,PG,12/25/2008,100,7.1,Owen Wilson,224473,51,125638,Scott Frank,2008
35000000,DreamWorks,Germany,Thor Freudenthal,Comedy,73034460,Hotel para perros,Hotel para perros,0,0,100,0,0,PG,1/16/2009,100,5.4,Emma Roberts,92,36,17784,Jeff Lowell,2009
40000000,Warner Bros.,USA,Robert Rodriguez,Comedy,20916309,Shorts,Shorts,11.11111111,540,52.38095238,36.50793651,7890,PG,8/21/2009,89,4.8,Jimmy Bennett,32104,63,5645,Robert Rodriguez,2009
18000000,Metro-Goldwyn-Mayer (MGM),USA,Kevin Tancharoen,Comedy,22455510,Fame,Fame,4.411764706,0,64.70588235,30.88235294,50824,PG,9/25/2009,107,5,Kelsey Grammer,81151,68,14706,Allison Burnett,2009
35000000,Walt Disney Pictures,USA,Walt Becker,Comedy,49492060,Old Dogs,Old Dogs,18.05555556,622,6.944444444,75,922,PG,11/25/2009,100,5.4,Robin Williams,1544,72,32674,David Diamond,2009
30000000,Fox 2000 Pictures,USA,Gary Winick,Comedy,58715510,Bride Wars,Bride Wars,18,1353,49,33,7,PG,1/9/2009,89,5.5,Kate Hudson,1547,100,86156,Greg DePaul,2009
8000000,Lionsgate,USA,Jonas Elmer,Comedy,16734283,New in Town,New in Town,20.68965517,77,8.620689655,70.68965517,3667,PG,1/30/2009,97,5.6,Renée Zellweger,16764,58,18623,Ken Rance,2009
0,Touchstone Pictures,USA,P.J. Hogan,Comedy,44277350,Confessions of a Shopaholic,Confessions of a Shopaholic,17.85714286,4,48.80952381,33.33333333,3,PG,2/13/2009,104,5.9,Isla Fisher,57,84,66680,Tracey Jackson,2009
35000000,Universal Pictures,UK,Susanna White,Comedy,29197642,Nanny McPhee Returns,Nanny McPhee Returns,50,8,50,0,0,PG,8/20/2010,109,6.1,Emma Thompson,10,8,21695,Emma Thompson,2010
35000000,Summit Entertainment,USA,Roger Kumble,Comedy,17596256,Furry Vengeance,Furry Vengeance,25,6,41.66666667,33.33333333,4,PG,4/30/2010,100,3.8,Brendan Fraser,12,24,13245,Michael Carnes,2010
50000000,Twentieth Century Fox Film Corporation,USA,Tom Dey,Comedy,33644788,Marmaduke,Marmaduke,9.89010989,7,59.34065934,30.76923077,26,PG,6/4/2010,100,4.2,Owen Wilson,65,91,12104,Tim Rasmussen,2010
48000000,Twentieth Century Fox Film Corporation,USA,Michael Lembeck,Comedy,60022256,Tooth Fairy,Tooth Fairy,17.07317073,16,42.68292683,40.24390244,129,PG,1/22/2010,101,5,Dwayne Johnson,281,82,33336,Lowell Ganz,2010
20000000,Touchstone Pictures,USA,Andy Fickman,Comedy,25702053,You Again,You Again,33.78378378,68062,31.08108108,35.13513514,19332,PG,9/24/2010,100,5.8,Kristen Bell,111642,74,43588,Moe Jelline,2010
15000000,Color Force,USA,Thor Freudenthal,Comedy,64003625,Diary of a Wimpy Kid,Diary of a Wimpy Kid,21.73913043,44,50.72463768,27.53623188,149,PG,3/19/2010,100,6.2,Zachary Gordon,375,69,35256,Jackie Filgo,2010
19000000,Universal Pictures,USA,Anand Tucker,Comedy,25918920,Leap Year,Leap Year,20.83333333,12,39.58333333,39.58333333,447,PG,1/8/2010,100,6.5,Amy Adams,470,48,77685,Deborah Kaplan,2010
14000000,Castle Rock Entertainment,USA,Rob Reiner,Comedy,1752214,Flipped,Flipped,12.76595745,15,42.55319149,44.68085106,353,PG,9/10/2010,100,7.7,Madeline Carroll,14920,47,67346,Rob Reiner,2010
0,Isle of Man Film,UK,Sheree Folkson,Comedy,542,The Decoy Bride,The Decoy Bride,6.25,0,62.5,31.25,0,PG,3/9/2012,89,6.2,Kelly Macdonald,0,16,9018,Neil Jaworski,2011
79000000,Columbia Pictures,USA,Dennis Dugan,Comedy,74158157,Jack and Jill,Jack and Jill,22.09302326,27,50,27.90697674,20865,PG,11/11/2011,91,3.4,Adam Sandler,21084,86,65046,Steve Koren,2011
80000000,Columbia Pictures,USA,Frank Coraci,Comedy,80360843,Zookeeper,Zookeeper,12.5,25,61.11111111,26.38888889,24,PG,7/8/2011,100,5.2,Kevin James,1438,72,48201,Nick Bakay,2011
8000000,Rickshaw Productions,USA,Joe Nussbaum,Comedy,10130219,Prom,Prom,8.955223881,1797,59.70149254,31.34328358,4448,PG,4/29/2011,104,5.4,Aimee Teegarden,46824,67,13474,Katie Wech,2011
55000000,Twentieth Century Fox Film Corporation,USA,Mark Waters,Comedy,68224452,Mr. Popper's Penguins,Mr. Popper's Penguins,4.081632653,0,59.18367347,36.73469388,7698,PG,6/17/2011,100,6,Jim Carrey,7818,49,73019,Sean Anders,2011
41000000,Fox 2000 Pictures,USA,David Frankel,Comedy,7204138,The Big Year,The Big Year,18.18181818,14,31.16883117,50.64935065,5972,PG,10/14/2011,100,6.2,Owen Wilson,6434,77,36943,Howard Franklin,2011
21000000,Fox 2000 Pictures,USA,David Bowers,Comedy,52698535,Diary of a Wimpy Kid: Rodrick Rules,Diary of a Wimpy Kid: Rodrick Rules,5.333333333,1,69.33333333,25.33333333,4,PG,3/25/2011,100,6.6,Zachary Gordon,93,75,20904,Gabe Sachs,2011
50000000,Twentieth Century Fox Film Corporation,USA,Cameron Crowe,Comedy,75624550,We Bought a Zoo,We Bought a Zoo,16.12903226,92,58.06451613,25.80645161,3,PG,12/23/2011,124,7.1,Matt Damon,118,93,118916,Aline Brosh McKenna,2011
0,Razor Film Produktion GmbH,Saudi Arabia,Haifaa Al-Mansour,Comedy,1347578,La bicicleta verde,La bicicleta verde,0,0,100,0,0,PG,4/25/2014,98,7.6,Waad Mohammed,78,35,14903,Haifaa Al-Mansour,2012
0,Twentieth Century Fox Film Corporation,USA,Bobby Farrelly,Comedy,44338224,The Three Stooges,The Three Stooges,21.66666667,7872,63.33333333,15,8,PG,4/13/2012,92,5.1,Sean Hayes,20001,60,26808,Mike Cerrone,2012
25000000,Twentieth Century Fox Film Corporation,USA,Andy Fickman,Comedy,77267296,Parental Guidance,Parental Guidance,27.77777778,0,36.11111111,36.11111111,24,PG,12/25/2012,105,6.1,Billy Crystal,272,36,22401,Lisa Addario,2012
22000000,Fox 2000 Pictures,USA,David Bowers,Comedy,49008662,Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid: Dog Days,0,0,70.58823529,29.41176471,0,PG,8/3/2012,94,6.3,Zachary Gordon,34,17,17568,Maya Forbes,2012
